"Date","Reference","Paid out","Paid in","Balance"
"","","","","0.00"
"03-08-2018","TRANSFER TEST","","1.00","1.00"
"03-08-2018","TRANSFER","","9000.00","9001.00"
"07-08-2018","WASABI ST PANCRAS SQUA LONDON        GBR",8.1,"","8992.90"
"08-08-2018","PREMIER INN45521675    KING'S CROSS  GBR",12.49,"","8980.41"
"10-08-2018","UBER EATS M4SWB HELP.U help.uber.com NLD",20.3,"","8960.11"
"13-08-2018","WHOLE FOODS MARKET CAM LONDON        GBR",12.02,"","8948.09"
"14-08-2018","PIZZA UNION LIMITED    LONDON        GBR",6.5,"","8941.59"
"15-08-2018","PREMIER INN45521675    KING'S CROSS  GBR",4.3,"","8937.29"
"16-08-2018","ABOKADO PENTONVILL     PENTONVILLE   GBR",7.69,"","8929.60"
"16-08-2018","IZ *Black Sheep Coffee LONDON        GBR",6,"","8923.60"
"17-08-2018","NANDOS KINGS CROSS     KINGS CROSS   GBR",11.25,"","8912.35"
"28-08-2018","OMNI LA COSTA RESORT   CARLSBAD      CA",669.22,"","8243.13"
"28-08-2018","THE HOXTON MIX LTD     LONDON        GBR",18,"","8225.13"
