Date,Counter Party,Reference,Type,Amount (GBP),Balance (GBP)
,Opening Balance,,,,0.00
03/08/2018,ONPONO LTD,TRANSFER TEST,FASTER PAYMENT,1.00,1.00
03/08/2018,ONPONO LTD,TRANSFER,FASTER PAYMENT,9000.00,9001.00
07/08/2018,Wasabi,WASABI ST PANCRAS SQUA LONDON        GBR,CONTACTLESS,-8.10,8992.90
08/08/2018,Premier Inn,PREMIER INN45521675    KING'S CROSS  GBR,CONTACTLESS,-12.49,8980.41
10/08/2018,Uber,UBER EATS M4SWB HELP.U help.uber.com NLD,ONLINE,-20.30,8960.11
13/08/2018,Whole Foods Market,WHOLE FOODS MARKET CAM LONDON        GBR,ANDROID PAY,-12.02,8948.09
14/08/2018,Pizza Union,PIZZA UNION LIMITED    LONDON        GBR,ANDROID PAY,-6.50,8941.59
15/08/2018,Premier Inn,PREMIER INN45521675    KING'S CROSS  GBR,ANDROID PAY,-4.30,8937.29
16/08/2018,Abokado,ABOKADO PENTONVILL     PENTONVILLE   GBR,ANDROID PAY,-7.69,8929.60
16/08/2018,Black Sheep Coffee,IZ *Black Sheep Coffee LONDON        GBR,ANDROID PAY,-6.00,8923.60
17/08/2018,Nando's,NANDOS KINGS CROSS     KINGS CROSS   GBR,ANDROID PAY,-11.25,8912.35
28/08/2018,Omni La Costa Resort,OMNI LA COSTA RESORT   CARLSBAD      CA ,CARD PAYMENT,-669.22,8243.13
28/08/2018,The Hoxton Mix,THE HOXTON MIX LTD     LONDON        GBR,ONLINE,-18.00,8225.13
